,manufacturer,model
N975UY,AIRBUS,A321-231
N976AA,BELL,407
N976DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N976UY,AIRBUS,A321-231
N977AA,BEECH,C90
N977AT,BOEING,717-200
N977DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N977UY,AIRBUS,A321-231
N978AT,BOEING,717-200
N978DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N978UY,AIRBUS,A321-231
N979AT,BOEING,717-200
N979DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N979EV,BOMBARDIER INC,CL-600-2B19
N979UY,AIRBUS,A321-231
N980AT,BOEING,717-200
N980DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N980UY,AIRBUS,A321-231
N981AA,ARCH AERIAL LLC,ARCH AERIAL OCTO
N981AT,BOEING,717-200
N981DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N981EV,BOMBARDIER INC,CL-600-2B19
N981UY,AIRBUS,A321-231
N982AT,BOEING,717-200
N982DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N982VJ,AIRBUS,A321-231
N983AT,BOEING,717-200
N983DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N984DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N985AT,BOEING,717-200
N985DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N986AT,BOEING,717-200
N986DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N987AA,CIRRUS DESIGN CORP,SR22
N987AT,BOEING,717-200
N987DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N987DN,BOEING,717-200
N988AA,GATES LEARJET,25D
N988AT,BOEING,717-200
N988DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N988DN,BOEING,717-200
N989AT,BOEING,717-200
N989DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N989DN,BOEING,717-200
N990AA,ARCH AERIAL LLC,ARCH AERIAL OCTO
N990AT,BOEING,717-200
N990DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N991AA,CESSNA,402C
N991AT,BOEING,717-200
N991DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N992AA,ASTRAEUS AERIAL LLC,V.3CS
N992AT,BOEING,717-200
N992DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N993AA,ASTRAEUS AERIAL LLC,V.3CS
N993AT,BOEING,717-200
N993DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N994AA,ASTRAEUS AERIAL LLC,V.3CS
N994AT,BOEING,717-200
N994DL,MCDONNELL DOUGLAS CORPORATION,MD-88
N995AA,ASTRAEUS AERIAL LLC,V.3CS
N995AT,BOEING,717-200
N995DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N996AT,BOEING,717-200
N996DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N997AA,AIRBUS,A321-231
N997AT,BOEING,717-200
N997DL,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N998AT,BOEING,717-200
N998DL,MCDONNELL DOUGLAS CORPORATION,MD-88
N999DN,MCDONNELL DOUGLAS CORPORATION,MD-88
