,airline,manufacturer,model
N833UA,A319-131,AIRBUS INDUSTRIE,A319-131
N834AW,A319-132,AIRBUS,A319-132
N834DN,737-932ER,BOEING,737-932ER
N834JB,A320-232,AIRBUS,A320-232
N834UA,A319-131,AIRBUS INDUSTRIE,A319-131
N835AA,G-IV,GULFSTREAM AEROSPACE,G-IV
N835AW,A319-132,AIRBUS,A319-132
N835DN,737-932ER,BOEING,737-932ER
N835UA,A319-131,AIRBUS INDUSTRIE,A319-131
N835VA,A320-214,AIRBUS,A320-214
N836AW,A319-132,AIRBUS,A319-132
N836DN,737-932ER,BOEING,737-932ER
N836UA,A319-131,AIRBUS INDUSTRIE,A319-131
N836VA,A320-214,AIRBUS,A320-214
N837AW,A319-132,AIRBUS,A319-132
N837DN,737-932ER,BOEING,737-932ER
N837UA,A319-131,AIRBUS INDUSTRIE,A319-131
N837VA,A320-214,AIRBUS,A320-214
N838AW,A319-132,AIRBUS,A319-132
N838DN,737-932ER,BOEING,737-932ER
N838UA,A319-131,AIRBUS INDUSTRIE,A319-131
N839AW,A319-132,AIRBUS,A319-132
N839DN,737-932ER,BOEING,737-932ER
N839UA,A319-131,AIRBUS INDUSTRIE,A319-131
N839VA,A320-214,AIRBUS,A320-214
N840AA,560,CESSNA,560
N840AW,A319-132,AIRBUS,A319-132
N840DN,737-932ER,BOEING,737-932ER
N840UA,A319-131,AIRBUS INDUSTRIE,A319-131
N840VA,A320-214,AIRBUS,A320-214
N841DN,737-932ER,BOEING,737-932ER
N841UA,A319-131,AIRBUS INDUSTRIE,A319-131
N841VA,A320-214,AIRBUS,A320-214
N842DN,737-932ER,BOEING,737-932ER
N842UA,A319-131,AIRBUS INDUSTRIE,A319-131
N842VA,A320-214,AIRBUS,A320-214
N843DN,737-932ER,BOEING,737-932ER
N843UA,A319-131,AIRBUS INDUSTRIE,A319-131
N844AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N844DN,737-932ER,BOEING,737-932ER
N844UA,A319-131,AIRBUS INDUSTRIE,A319-131
N844VA,A320-214,AIRBUS,A320-214
N845DN,737-932ER,BOEING,737-932ER
N845UA,A319-131,AIRBUS INDUSTRIE,A319-131
N845VA,A320-214,AIRBUS,A320-214
N846DN,737-932ER,BOEING,737-932ER
N846UA,A319-131,AIRBUS INDUSTRIE,A319-131
N846VA,A320-214,AIRBUS,A320-214
N847AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N847DN,737-932ER,BOEING,737-932ER
N847UA,A319-131,AIRBUS INDUSTRIE,A319-131
N847VA,A320-214,AIRBUS,A320-214
N848AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N848DN,737-932ER,BOEING,737-932ER
N848UA,A319-131,AIRBUS INDUSTRIE,A319-131
N848VA,A320-214,AIRBUS,A320-214
N849AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N849DN,737-932ER,BOEING,737-932ER
N849UA,A319-131,AIRBUS INDUSTRIE,A319-131
N849VA,A320-214,AIRBUS,A320-214
N8501V,737-800,BOEING,737-800
N8502Z,737-800,BOEING,737-800
N8503A,737-800,BOEING,737-800
N8504G,737-800,BOEING,737-800
N8507C,737-800,BOEING,737-800
N8508W,737-800,BOEING,737-800
N8509U,737-800,BOEING,737-800
N850AA,TBM 700,SOCATA,TBM 700
N850AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N850DN,737-932ER,BOEING,737-932ER
N850UA,A319-131,AIRBUS INDUSTRIE,A319-131
N8510E,737-800,BOEING,737-800
N8511K,737-800,BOEING,737-800
N8513F,737-800,BOEING,737-800
N8515X,737-800,BOEING,737-800
N8517F,737-800,BOEING,737-800
N8518R,737-800,BOEING,737-800
N8519R,737-800,BOEING,737-800
N851AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N851DN,737-932ER,BOEING,737-932ER
N851UA,A319-131,AIRBUS,A319-131
N851VA,A320-214,AIRBUS,A320-214
N8520Q,737-800,BOEING,737-800
N8522P,737-800,BOEING,737-800
N8523W,737-800,BOEING,737-800
N8524Z,737-800,BOEING,737-800
N8525S,737-800,BOEING,737-800
N852AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N852DN,737-932ER,BOEING,737-932ER
N852UA,A319-131,AIRBUS,A319-131
N852VA,A320-214,AIRBUS,A320-214
N8533S,737-800,BOEING,737-800
N8534Z,737-800,BOEING,737-800
N8536Z,737-800,BOEING,737-800
N8538V,737-800,BOEING,737-800
N8539V,737-800,BOEING,737-800
N853AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N853DN,737-932ER,BOEING,737-932ER
N853UA,A319-131,AIRBUS,A319-131
N853VA,A320-214,AIRBUS,A320-214
N8541W,737-800,BOEING,737-800
N8543Z,737-800,BOEING,737-800
N854AA,727-223,BOEING,727-223
N854AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N854DN,737-932ER,BOEING,737-932ER
N854UA,A319-131,AIRBUS,A319-131
N854VA,A320-214,AIRBUS,A320-214
N855AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N855DN,737-932ER,BOEING,737-932ER
N855UA,A319-131,AIRBUS,A319-131
N855VA,A320-214,AIRBUS,A320-214
N856AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N856DN,737-932ER,BOEING,737-932ER
N857AA,550,CESSNA,550
N857AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N857DZ,737-932ER,BOEING,737-932ER
N858AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N858DZ,737-932ER,BOEING,737-932ER
N859AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N859DN,737-932ER,BOEING,737-932ER
N8600F,737-8H4,BOEING,737-8H4
N8601C,737-8H4,BOEING,737-8H4
N8602F,737-8H4,BOEING,737-8H4
N8603F,737-8H4,BOEING,737-8H4
N8604K,737-8H4,BOEING,737-8H4
N8605E,737-8H4,BOEING,737-8H4
N8606C,737-8H4,BOEING,737-8H4
N8607M,737-8H4,BOEING,737-8H4
N8608N,737-8H4,BOEING,737-8H4
N8609A,737-8H4,BOEING,737-8H4
N860AA,GV-SP (G550),GULFSTREAM AEROSPACE,GV-SP (G550)
N860AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N860DN,737-932ER,BOEING,737-932ER
N8610A,737-8H4,BOEING,737-8H4
N8611F,737-8H4,BOEING,737-8H4
N8612K,737-8H4,BOEING,737-8H4
N8613K,737-8H4,BOEING,737-8H4
N8614M,737-8H4,BOEING,737-8H4
N8615E,737-8H4,BOEING,737-8H4
N8616C,737-8H4,BOEING,737-8H4
N8617E,737-8H4,BOEING,737-8H4
N8618N,737-8H4,BOEING,737-8H4
N8619F,737-8H4,BOEING,737-8H4
N861AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N861DN,737-932ER,BOEING,737-932ER
N8620H,737-8H4,BOEING,737-8H4
N8621A,737-8H4,BOEING,737-8H4
N8622A,737-8H4,BOEING,737-8H4
N8623F,737-8H4,BOEING,737-8H4
N8624J,737-8H4,BOEING,737-8H4
N8625A,737-8H4,BOEING,737-8H4
N8626B,737-8H4,BOEING,737-8H4
N8627B,737-8H4,BOEING,737-8H4
N8628A,737-8H4,BOEING,737-8H4
N862DN,737-932ER,BOEING,737-932ER
N8630B,737-8H4,BOEING,737-8H4
N8631A,737-8H4,BOEING,737-8H4
N8632A,737-8H4,BOEING,737-8H4
N8633A,737-8H4,BOEING,737-8H4
N8634A,737-8H4,BOEING,737-8H4
N8635F,737-8H4,BOEING,737-8H4
N8637A,737-8H4,BOEING,737-8H4
N8638A,737-8H4,BOEING,737-8H4
N8639B,737-8H4,BOEING,737-8H4
N863DN,737-932ER,BOEING,737-932ER
N8640D,737-8H4,BOEING,737-8H4
N8641B,737-8H4,BOEING,737-8H4
N8642E,737-8H4,BOEING,737-8H4
N8643A,737-8H4,BOEING,737-8H4
N8644C,737-8H4,BOEING,737-8H4
N8645A,737-8H4,BOEING,737-8H4
N8646B,737-8H4,BOEING,737-8H4
N8647A,737-8H4,BOEING,737-8H4
N8648A,737-8H4,BOEING,737-8H4
N8649A,737-8H4,BOEING,737-8H4
N864DN,737-932ER,BOEING,737-932ER
N8650F,737-8H4,BOEING,737-8H4
N8651A,737-8H4,BOEING,737-8H4
N8652B,737-8H4,BOEING,737-8H4
N86534,737-824,BOEING,737-824
N8653A,737-8H4,BOEING,737-8H4
N8654B,737-8H4,BOEING,737-8H4
N8655D,737-8H4,BOEING,737-8H4
N8656B,737-8H4,BOEING,737-8H4
N8658A,737-8H4,BOEING,737-8H4
N8659D,737-8H4,BOEING,737-8H4
N865AA,G1159B,GULFSTREAM AEROSPACE,G1159B
N865DN,737-932ER,BOEING,737-932ER
N8660A,737-8H4,BOEING,737-8H4
N8661A,737-8H4,BOEING,737-8H4
N8662F,737-8H4,BOEING,737-8H4
N8663A,737-8H4,BOEING,737-8H4
N8664J,737-8H4,BOEING,737-8H4
N8665D,737-8H4,BOEING,737-8H4
N8667D,737-8H4,BOEING,737-8H4
N8668A,737-8H4,BOEING,737-8H4
N8669B,737-8H4,BOEING,737-8H4
N866AA,727-223,BOEING,727-223
N866DN,737-900ER,BOEING,737-900ER
N8670A,737-8H4,BOEING,737-8H4
N8671D,737-8H4,BOEING,737-8H4
N8672F,737-8H4,BOEING,737-8H4
N8673F,737-8H4,BOEING,737-8H4
N8674B,737-8H4,BOEING,737-8H4
N8675A,737-8H4,BOEING,737-8H4
N8676A,737-8H4,BOEING,737-8H4
N8677A,737-8H4,BOEING,737-8H4
N8678E,737-8H4,BOEING,737-8H4
N8679A,737-8H4,BOEING,737-8H4
N867AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N867DN,737-900ER,BOEING,737-900ER
N8680C,737-8H4,BOEING,737-8H4
N8681M,737-8H4,BOEING,737-8H4
N8682B,737-8H4,BOEING,737-8H4
N8683D,737-8H4,BOEING,737-8H4
N8684F,737-8H4,BOEING,737-8H4
N8685B,737-8H4,BOEING,737-8H4
N8686A,737-8H4,BOEING,737-8H4
N8687A,737-8H4,BOEING,737-8H4
N8688J,737-8H4,BOEING,737-8H4
N868AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N868DN,737-900ER,BOEING,737-900ER
N8690A,737-8H4,BOEING,737-8H4
N8691A,737-8H4,BOEING,737-8H4
N8692F,737-8H4,BOEING,737-8H4
N8693A,737-8H4,BOEING,737-8H4
N8694E,737-8H4,BOEING,737-8H4
N8695D,737-8H4,BOEING,737-8H4
N8696E,737-8H4,BOEING,737-8H4
N8697C,737-8H4,BOEING,737-8H4
N8698B,737-8H4,BOEING,737-8H4
N8699A,737-8H4,BOEING,737-8H4
N869DN,737-900ER,BOEING,737-900ER
N870AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N870DN,737-900ER,BOEING,737-900ER
N871AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N871DN,737-900ER,BOEING,737-900ER
N872DN,737-900ER,BOEING,737-900ER
N873AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N873DN,737-900ER,BOEING,737-900ER
N874AA,727-223,BOEING,727-223
N874DN,737-900ER,BOEING,737-900ER
N87507,737-824,BOEING,737-824
N87512,737-824,BOEING,737-824
N87513,737-824,BOEING,737-824
N87527,737-824,BOEING,737-824
N87531,737-824,BOEING,737-824
N875DN,737-900ER,BOEING,737-900ER
N876DN,737-900ER,BOEING,737-900ER
N877DN,737-900ER,BOEING,737-900ER
N878AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N879DN,737-900ER,BOEING,737-900ER
N880AA,PHANTOM 3 PROFESSION,DJI,PHANTOM 3 PROFESSION
N880DN,737-900ER,BOEING,737-900ER
N881AA,390,RAYTHEON AIRCRAFT COMPANY,390
N881AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N881DN,737-900ER,BOEING,737-900ER
N882AA,390,RAYTHEON AIRCRAFT COMPANY,390
N882AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N883AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N884AS,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N885AA,EA-400,EXTRA FLUGZEUGBAU GMBH,EA-400
N888AA,PC-12/47E,PILATUS AIRCRAFT LTD,PC-12/47E
N889UA,A319-132,AIRBUS,A319-132
N890UA,A319-132,AIRBUS,A319-132
N891AA,C90A,BEECH,C90A
N891AT,717-200,BOEING,717-200
N891UA,A319-132,AIRBUS,A319-132
N892AT,717-200,BOEING,717-200
N892UA,A319-132,AIRBUS,A319-132
N893AT,717-200,BOEING,717-200
N893UA,A319-132,AIRBUS,A319-132
N894AT,717-200,BOEING,717-200
N894UA,A319-132,AIRBUS,A319-132
N895AT,717-200,BOEING,717-200
N895UA,A319-132,AIRBUS,A319-132
N896AT,717-200,BOEING,717-200
N899AT,717-200,BOEING,717-200
N900DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N900EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N900WN,737-7H4,BOEING,737-7H4
N901AA,A321-231,AIRBUS,A321-231
N901DA,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N901DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N901NK,A320-271N,AIRBUS,A320-271N
N901WN,737-7H4,BOEING,737-7H4
N902AA,A321-231,AIRBUS,A321-231
N902DA,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N902DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N902FR,A319-112,AIRBUS INDUSTRIE,A319-112
N902NK,A320-271N,AIRBUS,A320-271N
N902WN,737-7H4,BOEING,737-7H4
N903AA,A321-231,AIRBUS,A321-231
N903DA,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N903DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N903NK,A320-271N,AIRBUS,A320-271N
N903WN,737-7H4,BOEING,737-7H4
N904AA,A321-231,AIRBUS,A321-231
N904DA,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N904DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N904DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N904NK,A320-271N,AIRBUS,A320-271N
N904WN,737-7H4,BOEING,737-7H4
N905AA,58TC,BEECH,58TC
N905DA,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N905DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N905DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N905NK,A320-271N,AIRBUS,A320-271N
N905WN,737-7H4,BOEING,737-7H4
N906AA,A321-231,AIRBUS,A321-231
N906AT,717-200,BOEING,717-200
N906DA,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N906DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N906DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N906WN,737-7H4,BOEING,737-7H4
N907AA,A321-231,AIRBUS,A321-231
N907DA,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N907DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N907DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N907WN,737-7H4,BOEING,737-7H4
N908AA,A321-231,AIRBUS,A321-231
N908DA,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N908DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N908DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N908WN,737-7H4,BOEING,737-7H4
N909DA,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N909DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N909WN,737-7H4,BOEING,737-7H4
N910AT,717-200,BOEING,717-200
N910DE,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N910DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N910DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N910FR,A319-112,AIRBUS,A319-112
N910WN,737-7H4,BOEING,737-7H4
N911DA,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N911DE,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N911DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N912DE,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N912DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N912DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N912UY,A321-231,AIRBUS,A321-231
N912WN,737-7H4,BOEING,737-7H4
N913DE,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N913DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N913DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N913US,A321-231,AIRBUS,A321-231
N913WN,737-7H4,BOEING,737-7H4
N914DE,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N914DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N914DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N914EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N914UY,A321-231,AIRBUS,A321-231
N914WN,737-7H4,BOEING,737-7H4
N915AA,152,CESSNA,152
N915AT,717-200,BOEING,717-200
N915DE,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N915DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N915DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N915US,A321-231,AIRBUS,A321-231
N915WN,737-7H4,BOEING,737-7H4
N916DE,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N916DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N916DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N916EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N916US,A321-231,AIRBUS,A321-231
N916WN,737-7H4,BOEING,737-7H4
N917AA,FALCON 2,DRLIK ROMUALD,FALCON 2
N917DE,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N917DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N917DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N917EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N917UY,A321-231,AIRBUS,A321-231
N917WN,737-7H4,BOEING,737-7H4
N918DE,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N918DH,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N918DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N918US,A321-231,AIRBUS,A321-231
N918WN,737-7H4,BOEING,737-7H4
N919AA,M-33,ANTARES,M-33
N919AT,717-200,BOEING,717-200
N919DE,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N919DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N919DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N919EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N919FR,A319-111,AIRBUS,A319-111
N919US,A321-231,AIRBUS,A321-231
N919WN,737-7H4,BOEING,737-7H4
N920AA,P68B,PARTENAVIA S.P.A.,P68B
N920AT,717-200,BOEING,717-200
N920DE,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N920DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N920DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N920EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N920FR,A319-111,AIRBUS,A319-111
N920US,A321-231,AIRBUS,A321-231
N920WN,737-7H4,BOEING,737-7H4
N921AT,717-200,BOEING,717-200
N921DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N921DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N921EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N921US,A321-231,AIRBUS,A321-231
N921WN,737-7H4,BOEING,737-7H4
N922AT,717-200,BOEING,717-200
N922DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N922DX,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N922EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N922FR,A319-111,AIRBUS,A319-111
N922US,A321-231,AIRBUS,A321-231
N922WN,737-7H4,BOEING,737-7H4
N923AT,717-200,BOEING,717-200
N923DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N923DN,MD-90-30,BOEING,MD-90-30
N923EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N923FR,A319-111,AIRBUS,A319-111
N923US,A321-231,AIRBUS,A321-231
N923WN,737-7H4,BOEING,737-7H4
N924AT,717-200,BOEING,717-200
N924DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N924DN,MD-90-30,BOEING,MD-90-30
N924EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N924US,A321-231,AIRBUS,A321-231
N924WN,737-7H4,BOEING,737-7H4
N925AT,717-200,BOEING,717-200
N925DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N925DN,MD-90-30,BOEING,MD-90-30
N925EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N925UY,A321-231,AIRBUS,A321-231
N925WN,737-7H4,BOEING,737-7H4
N926AT,717-200,BOEING,717-200
N926DH,MD-90-30,BOEING,MD-90-30
N926DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N926EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N926FR,A319-111,AIRBUS,A319-111
N926UW,A321-231,AIRBUS,A321-231
N926WN,737-7H4,BOEING,737-7H4
N927AA,525,TEXTRON AVIATION INC,525
N927AT,717-200,BOEING,717-200
N927DA,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N927DN,MD-90-30,BOEING,MD-90-30
N927EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N927FR,A319-112,AIRBUS,A319-112
N927UW,A321-231,AIRBUS,A321-231
N927WN,737-7H4,BOEING,737-7H4
N928AT,717-200,BOEING,717-200
N928DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N928DN,MD-90-30,BOEING,MD-90-30
N928WN,737-7H4,BOEING,737-7H4
N929AA,A321-231,AIRBUS,A321-231
N929AT,717-200,BOEING,717-200
N929DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N929DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N929WN,737-7H4,BOEING,737-7H4
N930AA,A36,BEECH,A36
N930AT,717-200,BOEING,717-200
N930DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N930DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N930WN,737-7H4,BOEING,737-7H4
N931DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N931DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N931EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N931WN,737-7H4,BOEING,737-7H4
N932AT,717-200,BOEING,717-200
N932DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N932DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N932WN,737-7H4,BOEING,737-7H4
N933AT,717-200,BOEING,717-200
N933DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N933DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N933WN,737-7H4,BOEING,737-7H4
N934AA,A321-231,AIRBUS,A321-231
N934AT,717-200,BOEING,717-200
N934DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N934DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N934WN,737-7H4,BOEING,737-7H4
N935AT,717-200,BOEING,717-200
N935DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N935DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N935WN,737-7H4,BOEING,737-7H4
N936AT,717-200,BOEING,717-200
N936DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N936DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N936EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N936WN,737-7H4,BOEING,737-7H4
N937AT,717-200,BOEING,717-200
N937DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N937DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N937EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N937WN,737-7H4,BOEING,737-7H4
N938AT,717-200,BOEING,717-200
N938DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N938DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N938FR,A319-112,AIRBUS,A319-112
N938WN,737-7H4,BOEING,737-7H4
N939AT,717-200,BOEING,717-200
N939DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N939DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N939FR,A319-112,AIRBUS,A319-112
N939WN,737-7H4,BOEING,737-7H4
N940AT,717-200,BOEING,717-200
N940DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N940DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N940WN,737-7H4,BOEING,737-7H4
N941DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N941DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N941FR,A319-112,AIRBUS,A319-112
N941WN,737-7H4,BOEING,737-7H4
N942AT,717-200,BOEING,717-200
N942DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N942DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N942WN,737-7H4,BOEING,737-7H4
N943AT,717-200,BOEING,717-200
N943DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N943DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N943FR,A319-112,AIRBUS,A319-112
N943WN,737-7H4,BOEING,737-7H4
N944AT,717-200,BOEING,717-200
N944DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N944DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N944UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N944WN,737-7H4,BOEING,737-7H4
N945AT,717-200,BOEING,717-200
N945DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N945DN,MD-90-30,BOEING,MD-90-30
N945UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N945WN,737-7H4,BOEING,737-7H4
N946AT,717-200,BOEING,717-200
N946DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N946DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N946UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N946WN,737-7H4,BOEING,737-7H4
N947AT,717-200,BOEING,717-200
N947DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N947DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N947FR,A319-111,AIRBUS,A319-111
N947UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N947WN,737-7H4,BOEING,737-7H4
N948AT,717-200,BOEING,717-200
N948DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
